,const,TELENOW_1,TELENOW_2,TELECOVID_1,TELECOVID_2,TELE2019_1,TELE2019_2,HRYEAR4,rank_16,rank_25,rank_100,PEHRUSLT
287,1.0,0,0,0,0,0,0,2019,1,0,0,30
288,1.0,0,0,0,0,0,0,2019,0,1,0,40
289,1.0,0,0,0,0,0,0,2019,0,1,0,10
292,1.0,0,0,0,0,0,0,2019,0,1,0,40
293,1.0,0,0,0,0,0,0,2019,0,1,0,40
295,1.0,0,0,0,0,0,0,2019,0,1,0,16
298,1.0,0,0,0,0,0,0,2019,1,0,0,30
299,1.0,0,0,0,0,0,0,2019,0,1,0,40
301,1.0,0,0,0,0,0,0,2019,0,1,0,50
302,1.0,0,0,0,0,0,0,2019,0,1,0,40
303,1.0,0,0,0,0,0,0,2019,0,1,0,16
305,1.0,0,0,0,0,0,0,2019,0,1,0,40
306,1.0,0,0,0,0,0,0,2019,0,1,0,40
307,1.0,0,0,0,0,0,0,2019,0,1,0,40
310,1.0,0,0,0,0,0,0,2019,0,1,0,35
311,1.0,0,0,0,0,0,0,2019,0,1,0,40
312,1.0,0,0,0,0,0,0,2019,0,1,0,28
313,1.0,0,0,0,0,0,0,2019,0,1,0,40
315,1.0,0,0,0,0,0,0,2019,0,1,0,35
316,1.0,0,0,0,0,0,0,2019,0,1,0,40
317,1.0,0,0,0,0,0,0,2019,0,1,0,60
318,1.0,0,0,0,0,0,0,2019,0,1,0,40
319,1.0,0,0,0,0,0,0,2019,1,0,0,42
320,1.0,0,0,0,0,0,0,2019,0,0,1,42
321,1.0,0,0,0,0,0,0,2019,0,1,0,40
326,1.0,0,0,0,0,0,0,2019,0,1,0,30
327,1.0,0,0,0,0,0,0,2019,0,1,0,40
329,1.0,0,0,0,0,0,0,2019,0,1,0,40
330,1.0,0,0,0,0,0,0,2019,0,1,0,40
331,1.0,0,0,0,0,0,0,2019,0,1,0,40
332,1.0,0,0,0,0,0,0,2019,0,1,0,40
333,1.0,0,0,0,0,0,0,2019,0,1,0,40
334,1.0,0,0,0,0,0,0,2019,0,1,0,40
338,1.0,0,0,0,0,0,0,2019,0,1,0,40
339,1.0,0,0,0,0,0,0,2019,0,1,0,35
341,1.0,0,0,0,0,0,0,2019,0,1,0,40
342,1.0,0,0,0,0,0,0,2019,0,1,0,45
343,1.0,0,0,0,0,0,0,2019,0,1,0,40
347,1.0,0,0,0,0,0,0,2019,0,1,0,40
348,1.0,0,0,0,0,0,0,2019,0,1,0,40
351,1.0,0,0,0,0,0,0,2019,0,1,0,40
352,1.0,0,0,0,0,0,0,2019,0,1,0,70
353,1.0,0,0,0,0,0,0,2019,0,1,0,50
355,1.0,0,0,0,0,0,0,2019,0,1,0,40
357,1.0,0,0,0,0,0,0,2019,0,1,0,40
358,1.0,0,0,0,0,0,0,2019,0,1,0,50
359,1.0,0,0,0,0,0,0,2019,0,1,0,40
361,1.0,0,0,0,0,0,0,2019,0,1,0,35
362,1.0,0,0,0,0,0,0,2019,0,1,0,40
363,1.0,0,0,0,0,0,0,2019,0,1,0,46
365,1.0,0,0,0,0,0,0,2019,0,1,0,30
366,1.0,0,0,0,0,0,0,2019,0,1,0,40
367,1.0,0,0,0,0,0,0,2019,0,1,0,40
373,1.0,0,0,0,0,0,0,2019,0,1,0,40
374,1.0,0,0,0,0,0,0,2019,0,1,0,60
375,1.0,0,0,0,0,0,0,2019,0,1,0,30
379,1.0,0,0,0,0,0,0,2019,0,1,0,40
380,1.0,0,0,0,0,0,0,2019,0,1,0,40
384,1.0,0,0,0,0,0,0,2019,0,1,0,35
385,1.0,0,0,0,0,0,0,2019,0,1,0,32
386,1.0,0,0,0,0,0,0,2019,0,1,0,40
388,1.0,0,0,0,0,0,0,2019,0,1,0,45
389,1.0,0,0,0,0,0,0,2019,0,1,0,45
390,1.0,0,0,0,0,0,0,2019,0,1,0,40
391,1.0,0,0,0,0,0,0,2019,0,1,0,40
395,1.0,0,0,0,0,0,0,2019,0,0,1,40
396,1.0,0,0,0,0,0,0,2019,0,1,0,40
399,1.0,0,0,0,0,0,0,2019,0,1,0,40
400,1.0,0,0,0,0,0,0,2019,0,1,0,20
401,1.0,0,0,0,0,0,0,2019,0,1,0,60
403,1.0,0,0,0,0,0,0,2019,0,1,0,40
410,1.0,0,0,0,0,0,0,2019,0,1,0,40
411,1.0,0,0,0,0,0,0,2019,0,1,0,40
412,1.0,0,0,0,0,0,0,2019,0,1,0,45
414,1.0,0,0,0,0,0,0,2019,0,1,0,45
415,1.0,0,0,0,0,0,0,2019,0,1,0,60
416,1.0,0,0,0,0,0,0,2019,0,1,0,40
419,1.0,0,0,0,0,0,0,2019,0,1,0,38
420,1.0,0,0,0,0,0,0,2019,0,1,0,38
422,1.0,0,0,0,0,0,0,2019,0,1,0,30
423,1.0,0,0,0,0,0,0,2019,0,1,0,72
424,1.0,0,0,0,0,0,0,2019,0,1,0,6
429,1.0,0,0,0,0,0,0,2019,0,1,0,40
431,1.0,0,0,0,0,0,0,2019,0,1,0,30
432,1.0,0,0,0,0,0,0,2019,0,1,0,70
433,1.0,0,0,0,0,0,0,2019,0,1,0,40
434,1.0,0,0,0,0,0,0,2019,0,1,0,40
435,1.0,0,0,0,0,0,0,2019,0,1,0,40
439,1.0,0,0,0,0,0,0,2019,0,1,0,33
440,1.0,0,0,0,0,0,0,2019,0,1,0,42
442,1.0,0,0,0,0,0,0,2019,0,1,0,40
443,1.0,0,0,0,0,0,0,2019,0,1,0,70
453,1.0,0,0,0,0,0,0,2019,0,1,0,56
458,1.0,0,0,0,0,0,0,2019,0,0,1,16
459,1.0,0,0,0,0,0,0,2019,0,1,0,6
466,1.0,0,0,0,0,0,0,2019,0,1,0,35
468,1.0,0,0,0,0,0,0,2019,0,1,0,40
471,1.0,0,0,0,0,0,0,2019,0,1,0,50
472,1.0,0,0,0,0,0,0,2019,0,1,0,35
477,1.0,0,0,0,0,0,0,2019,0,1,0,40
478,1.0,0,0,0,0,0,0,2019,0,1,0,45
479,1.0,0,0,0,0,0,0,2019,0,1,0,48
480,1.0,0,0,0,0,0,0,2019,0,1,0,48
481,1.0,0,0,0,0,0,0,2019,0,1,0,40
482,1.0,0,0,0,0,0,0,2019,0,1,0,40
483,1.0,0,0,0,0,0,0,2019,0,1,0,40
490,1.0,0,0,0,0,0,0,2019,0,1,0,40
